Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,
75% Corpus,2,0.01,0.31,
75% Corpus,2,0.01,0.61,0.73892918054389
75% Corpus,2,0.01,0.9099999999999999,
75% Corpus,2,0.01,symmetric,
75% Corpus,2,0.31,0.01,
75% Corpus,2,0.31,0.31,
75% Corpus,2,0.31,0.61,
75% Corpus,2,0.31,0.9099999999999999,
75% Corpus,2,0.31,symmetric,
75% Corpus,2,0.61,0.01,
75% Corpus,2,0.61,0.31,
75% Corpus,2,0.61,0.61,
75% Corpus,2,0.61,0.9099999999999999,
75% Corpus,2,0.61,symmetric,
75% Corpus,2,0.9099999999999999,0.01,
75% Corpus,2,0.9099999999999999,0.31,
75% Corpus,2,0.9099999999999999,0.61,
75% Corpus,2,0.9099999999999999,0.9099999999999999,
75% Corpus,2,0.9099999999999999,symmetric,
75% Corpus,2,symmetric,0.01,
75% Corpus,2,symmetric,0.31,
75% Corpus,2,symmetric,0.61,
75% Corpus,2,symmetric,0.9099999999999999,
75% Corpus,2,symmetric,symmetric,
75% Corpus,2,asymmetric,0.01,0.7549786939408818
75% Corpus,2,asymmetric,0.31,0.7582256111204289
75% Corpus,2,asymmetric,0.61,
75% Corpus,2,asymmetric,0.9099999999999999,
75% Corpus,2,asymmetric,symmetric,
75% Corpus,3,0.01,0.01,
75% Corpus,3,0.01,0.31,
75% Corpus,3,0.01,0.61,
75% Corpus,3,0.01,0.9099999999999999,
75% Corpus,3,0.01,symmetric,
75% Corpus,3,0.31,0.01,
75% Corpus,3,0.31,0.31,
75% Corpus,3,0.31,0.61,
75% Corpus,3,0.31,0.9099999999999999,
75% Corpus,3,0.31,symmetric,
75% Corpus,3,0.61,0.01,
75% Corpus,3,0.61,0.31,
75% Corpus,3,0.61,0.61,
75% Corpus,3,0.61,0.9099999999999999,
75% Corpus,3,0.61,symmetric,
75% Corpus,3,0.9099999999999999,0.01,
75% Corpus,3,0.9099999999999999,0.31,
75% Corpus,3,0.9099999999999999,0.61,
75% Corpus,3,0.9099999999999999,0.9099999999999999,
75% Corpus,3,0.9099999999999999,symmetric,
75% Corpus,3,symmetric,0.01,
75% Corpus,3,symmetric,0.31,
75% Corpus,3,symmetric,0.61,
75% Corpus,3,symmetric,0.9099999999999999,
75% Corpus,3,symmetric,symmetric,
75% Corpus,3,asymmetric,0.01,
75% Corpus,3,asymmetric,0.31,
75% Corpus,3,asymmetric,0.61,0.7392775636005897
75% Corpus,3,asymmetric,0.9099999999999999,
75% Corpus,3,asymmetric,symmetric,
75% Corpus,4,0.01,0.01,
75% Corpus,4,0.01,0.31,
75% Corpus,4,0.01,0.61,
75% Corpus,4,0.01,0.9099999999999999,
75% Corpus,4,0.01,symmetric,
75% Corpus,4,0.31,0.01,
75% Corpus,4,0.31,0.31,
75% Corpus,4,0.31,0.61,
75% Corpus,4,0.31,0.9099999999999999,
75% Corpus,4,0.31,symmetric,
75% Corpus,4,0.61,0.01,
75% Corpus,4,0.61,0.31,
75% Corpus,4,0.61,0.61,
75% Corpus,4,0.61,0.9099999999999999,
75% Corpus,4,0.61,symmetric,
75% Corpus,4,0.9099999999999999,0.01,
75% Corpus,4,0.9099999999999999,0.31,
75% Corpus,4,0.9099999999999999,0.61,
75% Corpus,4,0.9099999999999999,0.9099999999999999,
75% Corpus,4,0.9099999999999999,symmetric,
75% Corpus,4,symmetric,0.01,
75% Corpus,4,symmetric,0.31,
75% Corpus,4,symmetric,0.61,
75% Corpus,4,symmetric,0.9099999999999999,
75% Corpus,4,symmetric,symmetric,
75% Corpus,4,asymmetric,0.01,
75% Corpus,4,asymmetric,0.31,
75% Corpus,4,asymmetric,0.61,
75% Corpus,4,asymmetric,0.9099999999999999,0.665350331865896
75% Corpus,4,asymmetric,symmetric,
75% Corpus,5,0.01,0.01,
75% Corpus,5,0.01,0.31,
75% Corpus,5,0.01,0.61,
75% Corpus,5,0.01,0.9099999999999999,
75% Corpus,5,0.01,symmetric,
75% Corpus,5,0.31,0.01,
75% Corpus,5,0.31,0.31,
75% Corpus,5,0.31,0.61,
75% Corpus,5,0.31,0.9099999999999999,
75% Corpus,5,0.31,symmetric,
75% Corpus,5,0.61,0.01,
75% Corpus,5,0.61,0.31,
75% Corpus,5,0.61,0.61,
75% Corpus,5,0.61,0.9099999999999999,
75% Corpus,5,0.61,symmetric,
75% Corpus,5,0.9099999999999999,0.01,
75% Corpus,5,0.9099999999999999,0.31,
75% Corpus,5,0.9099999999999999,0.61,
75% Corpus,5,0.9099999999999999,0.9099999999999999,
75% Corpus,5,0.9099999999999999,symmetric,
75% Corpus,5,symmetric,0.01,
75% Corpus,5,symmetric,0.31,
75% Corpus,5,symmetric,0.61,
75% Corpus,5,symmetric,0.9099999999999999,0.7636094101626428
75% Corpus,5,symmetric,symmetric,
75% Corpus,5,asymmetric,0.01,
75% Corpus,5,asymmetric,0.31,
75% Corpus,5,asymmetric,0.61,
75% Corpus,5,asymmetric,0.9099999999999999,
75% Corpus,5,asymmetric,symmetric,
75% Corpus,6,0.01,0.01,
75% Corpus,6,0.01,0.31,
75% Corpus,6,0.01,0.61,
75% Corpus,6,0.01,0.9099999999999999,
75% Corpus,6,0.01,symmetric,
75% Corpus,6,0.31,0.01,
75% Corpus,6,0.31,0.31,
75% Corpus,6,0.31,0.61,
75% Corpus,6,0.31,0.9099999999999999,
75% Corpus,6,0.31,symmetric,
75% Corpus,6,0.61,0.01,
75% Corpus,6,0.61,0.31,
75% Corpus,6,0.61,0.61,
75% Corpus,6,0.61,0.9099999999999999,
75% Corpus,6,0.61,symmetric,
75% Corpus,6,0.9099999999999999,0.01,
75% Corpus,6,0.9099999999999999,0.31,
75% Corpus,6,0.9099999999999999,0.61,
75% Corpus,6,0.9099999999999999,0.9099999999999999,
75% Corpus,6,0.9099999999999999,symmetric,
75% Corpus,6,symmetric,0.01,
75% Corpus,6,symmetric,0.31,
75% Corpus,6,symmetric,0.61,
75% Corpus,6,symmetric,0.9099999999999999,
75% Corpus,6,symmetric,symmetric,
75% Corpus,6,asymmetric,0.01,
75% Corpus,6,asymmetric,0.31,
75% Corpus,6,asymmetric,0.61,
75% Corpus,6,asymmetric,0.9099999999999999,
75% Corpus,6,asymmetric,symmetric,
75% Corpus,7,0.01,0.01,
75% Corpus,7,0.01,0.31,
75% Corpus,7,0.01,0.61,
75% Corpus,7,0.01,0.9099999999999999,
75% Corpus,7,0.01,symmetric,
75% Corpus,7,0.31,0.01,
75% Corpus,7,0.31,0.31,
75% Corpus,7,0.31,0.61,
75% Corpus,7,0.31,0.9099999999999999,
75% Corpus,7,0.31,symmetric,
75% Corpus,7,0.61,0.01,
75% Corpus,7,0.61,0.31,
75% Corpus,7,0.61,0.61,
75% Corpus,7,0.61,0.9099999999999999,
75% Corpus,7,0.61,symmetric,
75% Corpus,7,0.9099999999999999,0.01,
75% Corpus,7,0.9099999999999999,0.31,
75% Corpus,7,0.9099999999999999,0.61,
75% Corpus,7,0.9099999999999999,0.9099999999999999,
75% Corpus,7,0.9099999999999999,symmetric,
75% Corpus,7,symmetric,0.01,
75% Corpus,7,symmetric,0.31,
75% Corpus,7,symmetric,0.61,
75% Corpus,7,symmetric,0.9099999999999999,
75% Corpus,7,symmetric,symmetric,
75% Corpus,7,asymmetric,0.01,
75% Corpus,7,asymmetric,0.31,
75% Corpus,7,asymmetric,0.61,
75% Corpus,7,asymmetric,0.9099999999999999,
75% Corpus,7,asymmetric,symmetric,
75% Corpus,8,0.01,0.01,
75% Corpus,8,0.01,0.31,
75% Corpus,8,0.01,0.61,
75% Corpus,8,0.01,0.9099999999999999,
75% Corpus,8,0.01,symmetric,
75% Corpus,8,0.31,0.01,
75% Corpus,8,0.31,0.31,
75% Corpus,8,0.31,0.61,
75% Corpus,8,0.31,0.9099999999999999,
75% Corpus,8,0.31,symmetric,
75% Corpus,8,0.61,0.01,
75% Corpus,8,0.61,0.31,
75% Corpus,8,0.61,0.61,
75% Corpus,8,0.61,0.9099999999999999,
75% Corpus,8,0.61,symmetric,
75% Corpus,8,0.9099999999999999,0.01,
75% Corpus,8,0.9099999999999999,0.31,
75% Corpus,8,0.9099999999999999,0.61,
75% Corpus,8,0.9099999999999999,0.9099999999999999,
75% Corpus,8,0.9099999999999999,symmetric,
75% Corpus,8,symmetric,0.01,
75% Corpus,8,symmetric,0.31,
75% Corpus,8,symmetric,0.61,
75% Corpus,8,symmetric,0.9099999999999999,
75% Corpus,8,symmetric,symmetric,
75% Corpus,8,asymmetric,0.01,
75% Corpus,8,asymmetric,0.31,
75% Corpus,8,asymmetric,0.61,
75% Corpus,8,asymmetric,0.9099999999999999,
75% Corpus,8,asymmetric,symmetric,
75% Corpus,9,0.01,0.01,
75% Corpus,9,0.01,0.31,
75% Corpus,9,0.01,0.61,
75% Corpus,9,0.01,0.9099999999999999,
75% Corpus,9,0.01,symmetric,
75% Corpus,9,0.31,0.01,
75% Corpus,9,0.31,0.31,
75% Corpus,9,0.31,0.61,
75% Corpus,9,0.31,0.9099999999999999,
75% Corpus,9,0.31,symmetric,
75% Corpus,9,0.61,0.01,
75% Corpus,9,0.61,0.31,
75% Corpus,9,0.61,0.61,
75% Corpus,9,0.61,0.9099999999999999,
75% Corpus,9,0.61,symmetric,
75% Corpus,9,0.9099999999999999,0.01,
75% Corpus,9,0.9099999999999999,0.31,
75% Corpus,9,0.9099999999999999,0.61,
75% Corpus,9,0.9099999999999999,0.9099999999999999,
75% Corpus,9,0.9099999999999999,symmetric,
75% Corpus,9,symmetric,0.01,
75% Corpus,9,symmetric,0.31,
75% Corpus,9,symmetric,0.61,
75% Corpus,9,symmetric,0.9099999999999999,
75% Corpus,9,symmetric,symmetric,
75% Corpus,9,asymmetric,0.01,
75% Corpus,9,asymmetric,0.31,
75% Corpus,9,asymmetric,0.61,
75% Corpus,9,asymmetric,0.9099999999999999,
75% Corpus,9,asymmetric,symmetric,
75% Corpus,10,0.01,0.01,
75% Corpus,10,0.01,0.31,
75% Corpus,10,0.01,0.61,
75% Corpus,10,0.01,0.9099999999999999,
75% Corpus,10,0.01,symmetric,
75% Corpus,10,0.31,0.01,
75% Corpus,10,0.31,0.31,
75% Corpus,10,0.31,0.61,
75% Corpus,10,0.31,0.9099999999999999,
75% Corpus,10,0.31,symmetric,
75% Corpus,10,0.61,0.01,
75% Corpus,10,0.61,0.31,
75% Corpus,10,0.61,0.61,
75% Corpus,10,0.61,0.9099999999999999,
75% Corpus,10,0.61,symmetric,
75% Corpus,10,0.9099999999999999,0.01,
75% Corpus,10,0.9099999999999999,0.31,
75% Corpus,10,0.9099999999999999,0.61,
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.7534219182650392
75% Corpus,10,0.9099999999999999,symmetric,
75% Corpus,10,symmetric,0.01,
75% Corpus,10,symmetric,0.31,
